Ausgangsjahr,Gemeinde_BFS_Nr,Gemeindename,Stadtkreis_BFS_Nr,Stadtkreis_Name,Gesetz_Nummer,Gesetz_Abk,Tatbestand,Straftaten_total,Straftaten_vollendet,Straftaten_versucht,Einwohner,Häufigkeitszahl
2009,220,Hagenbuch,,,311.0,StGB,Einbruchdiebstahl,1,1,0,1107.0,0.9
2009,220,Hagenbuch,,,311.0,StGB,Einschleichdiebstahl,0,0,0,1107.0,0.0
2009,220,Hagenbuch,,,311.0,StGB,Einbrüche insgesamt,1,1,0,1107.0,0.9
2009,4,Hausen,,,311.0,StGB,Einbruchdiebstahl,12,10,2,3253.0,3.7
2009,4,Hausen,,,311.0,StGB,Einschleichdiebstahl,2,2,0,3253.0,0.6
2009,4,Hausen,,,311.0,StGB,Einbrüche insgesamt,14,12,2,3253.0,4.3
2009,5,Hedingen,,,311.0,StGB,Einbruchdiebstahl,24,14,10,3403.0,7.1
2009,5,Hedingen,,,311.0,StGB,Einschleichdiebstahl,5,5,0,3403.0,1.5
2009,5,Hedingen,,,311.0,StGB,Einbrüche insgesamt,29,19,10,3403.0,8.5
2009,31,Henggart,,,311.0,StGB,Einbruchdiebstahl,20,13,7,2068.0,9.7
2009,31,Henggart,,,311.0,StGB,Einschleichdiebstahl,2,2,0,2068.0,1.0
2009,31,Henggart,,,311.0,StGB,Einbrüche insgesamt,22,15,7,2068.0,10.6
2009,152,Herrliberg,,,311.0,StGB,Einbruchdiebstahl,43,22,21,5815.0,7.4
2009,152,Herrliberg,,,311.0,StGB,Einschleichdiebstahl,10,10,0,5815.0,1.7
2009,152,Herrliberg,,,311.0,StGB,Einbrüche insgesamt,53,32,21,5815.0,9.1
2009,221,Hettlingen,,,311.0,StGB,Einbruchdiebstahl,2,2,0,2943.0,0.7
2009,221,Hettlingen,,,311.0,StGB,Einschleichdiebstahl,2,2,0,2943.0,0.7
2009,221,Hettlingen,,,311.0,StGB,Einbrüche insgesamt,4,4,0,2943.0,1.4
2009,117,Hinwil,,,311.0,StGB,Einbruchdiebstahl,35,22,13,9873.0,3.5
2009,117,Hinwil,,,311.0,StGB,Einschleichdiebstahl,6,6,0,9873.0,0.6
2009,117,Hinwil,,,311.0,StGB,Einbrüche insgesamt,41,28,13,9873.0,4.2
2009,173,Hittnau,,,311.0,StGB,Einbruchdiebstahl,2,2,0,3374.0,0.6
2009,173,Hittnau,,,311.0,StGB,Einschleichdiebstahl,2,2,0,3374.0,0.6
2009,173,Hittnau,,,311.0,StGB,Einbrüche insgesamt,4,4,0,3374.0,1.2
2009,59,Hochfelden,,,311.0,StGB,Einbruchdiebstahl,3,1,2,1876.0,1.6
2009,59,Hochfelden,,,311.0,StGB,Einschleichdiebstahl,0,0,0,1876.0,0.0
2009,59,Hochfelden,,,311.0,StGB,Einbrüche insgesamt,3,1,2,1876.0,1.6
2009,153,Hombrechtikon,,,311.0,StGB,Einbruchdiebstahl,60,40,20,7822.0,7.7
2009,153,Hombrechtikon,,,311.0,StGB,Einschleichdiebstahl,7,6,1,7822.0,0.9
2009,153,Hombrechtikon,,,311.0,StGB,Einbrüche insgesamt,67,46,21,7822.0,8.6
2009,295,Horgen,,,311.0,StGB,Einbruchdiebstahl,64,41,23,20467.0,3.1
2009,295,Horgen,,,311.0,StGB,Einschleichdiebstahl,19,17,2,20467.0,0.9
2009,295,Horgen,,,311.0,StGB,Einbrüche insgesamt,83,58,25,20467.0,4.1
2009,60,Höri,,,311.0,StGB,Einbruchdiebstahl,10,6,4,2460.0,4.1
2009,60,Höri,,,311.0,StGB,Einschleichdiebstahl,3,3,0,2460.0,1.2
2009,60,Höri,,,311.0,StGB,Einbrüche insgesamt,13,9,4,2460.0,5.3
2009,61,Hüntwangen,,,311.0,StGB,Einbruchdiebstahl,2,2,0,971.0,2.1
2009,61,Hüntwangen,,,311.0,StGB,Einschleichdiebstahl,2,2,0,971.0,2.1
2009,61,Hüntwangen,,,311.0,StGB,Einbrüche insgesamt,4,4,0,971.0,4.1
2009,87,Hüttikon,,,311.0,StGB,Einbruchdiebstahl,2,1,1,675.0,3.0
2009,87,Hüttikon,,,311.0,StGB,Einschleichdiebstahl,0,0,0,675.0,0.0
2009,87,Hüttikon,,,311.0,StGB,Einbrüche insgesamt,2,1,1,675.0,3.0
2009,296,Illnau-Effretikon,,,311.0,StGB,Einbruchdiebstahl,124,66,58,15740.0,7.9
2009,296,Illnau-Effretikon,,,311.0,StGB,Einschleichdiebstahl,16,15,1,15740.0,1.0
2009,296,Illnau-Effretikon,,,311.0,StGB,Einbrüche insgesamt,140,81,59,15740.0,8.9
2009,6,Kappel,,,311.0,StGB,Einbruchdiebstahl,3,3,0,865.0,3.5
2009,6,Kappel,,,311.0,StGB,Einschleichdiebstahl,1,1,0,865.0,1.2
2009,6,Kappel,,,311.0,StGB,Einbrüche insgesamt,4,4,0,865.0,4.6
2009,135,Kilchberg,,,311.0,StGB,Einbruchdiebstahl,102,63,39,7427.0,13.7
2009,135,Kilchberg,,,311.0,StGB,Einschleichdiebstahl,12,12,0,7427.0,1.6
2009,135,Kilchberg,,,311.0,StGB,Einbrüche insgesamt,114,75,39,7427.0,15.3
2009,33,Kleinandelfingen,,,311.0,StGB,Einbruchdiebstahl,8,5,3,2032.0,3.9
2009,33,Kleinandelfingen,,,311.0,StGB,Einschleichdiebstahl,3,2,1,2032.0,1.5
2009,33,Kleinandelfingen,,,311.0,StGB,Einbrüche insgesamt,11,7,4,2032.0,5.4
